country,year_month,sunshine_hours,daylight_hours,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,rain_sum,precipitation_hours,retail_index,unemployment_rate,inflation_yoy,CCI,covid_dummy,month_num,month_sin,month_cos
Spain,2023-04,356.25082715266444,398.6446804846791,16.960118676754192,31.31805370123127,5.1196261682243,15.869247886070317,15.869247886070317,23.725114968105622,105.4,12.1,3.8,99.41081,0,4,0.8660254037844387,-0.49999999999999983
Spain,2023-05,371.84012688275726,447.1479769717648,18.049180508300193,29.309835336003555,9.38001780151313,62.43515798842901,62.43515798842901,96.3813974187806,105.0,12.0,2.9,99.33612,0,5,0.49999999999999994,-0.8660254037844387
Spain,2023-06,370.0765029302444,450.159219853632,23.186383820402515,35.72812639074321,13.898857736240915,49.66512386886218,49.66512386886218,79.57291203085596,105.1,11.9,1.6,99.2802,0,6,1.2246467991473532e-16,-1.0
Spain,2023-07,417.30153956386295,456.54966411923715,27.1726617568945,37.48629283489096,18.164901349948078,9.145304850912327,9.145304850912327,21.642782969885772,105.2,12.0,2.1,99.23506,0,7,-0.4999999999999998,-0.8660254037844388
Spain,2023-08,387.8815255476438,425.9907640075657,27.318212574950593,39.524699599465954,15.093739801216437,22.922474410324877,22.922474410324877,30.527963210206202,104.4,12.0,2.4,99.19492,0,8,-0.8660254037844384,-0.5000000000000004
Spain,2023-09,312.59598277538777,373.95094720656346,21.2202022449686,31.969589081738615,11.653864411808337,120.0907580477674,120.0907580477674,86.688028482421,103.8,12.0,3.3,99.1773,0,9,-1.0,-1.8369701987210297e-16
Spain,2023-10,264.03036073282897,345.17064175608635,18.769401495901345,31.47576027295653,8.225129802699897,91.53862928348909,91.53862928348909,102.89838302922415,104.4,12.0,3.5,99.19537,0,10,-0.8660254037844386,0.5000000000000001
Spain,2023-11,222.5901715130462,298.8435920053899,12.897500865351333,22.86524254561638,2.8027740691292093,31.835410176531667,31.835410176531667,61.54902833407506,106.2,12.0,3.3,99.23292,0,11,-0.5000000000000004,0.8660254037844384
Spain,2023-12,212.2083975864939,289.7022042459905,8.363225519330433,17.95646046580626,-0.3917371309894674,31.42355733570687,31.42355733570687,39.66859516392227,104.9,11.9,3.3,99.26673,0,12,-2.4492935982947064e-16,1.0
Spain,2024-01,205.99100087194446,299.41689973503765,9.09677180087189,19.733348167927605,-0.8966918854769322,63.039994066162286,62.732027889037234,81.06349206349206,105.5,11.9,3.5,99.28129,0,1,0.49999999999999994,0.8660254037844387
Spain,2024-02,228.63063826542384,309.73188434538235,10.611499879788633,20.839326509419966,2.662097611630322,38.281115561489386,37.87800029669189,70.85536270582999,105.5,11.8,2.9,99.27103,0,2,0.8660254037844386,0.5000000000000001
Spain,2024-03,266.40263000131864,371.48937228568127,11.934647391264818,25.26282450674974,2.3968253968253967,96.733748701973,95.71105177273401,143.61652573802107,105.2,11.6,3.3,99.23687,0,3,1.0,6.123233995736766e-17
Spain,2024-04,334.7823236413984,399.58501760083414,14.657360925678681,28.612283044058746,4.211378133808041,50.219195964990355,50.219195964990355,66.59768580329327,105.9,11.6,3.4,99.18499,0,4,0.8660254037844387,-0.49999999999999983
Spain,2024-05,397.77704960976774,447.87136765646375,18.02948925927521,31.528734609108444,6.843406022845276,25.73902981753449,25.73902981753449,54.32680611185284,105.4,11.6,3.8,99.12695,0,5,0.49999999999999994,-0.8660254037844387
Spain,2024-06,367.8020495817468,450.2699536315911,21.933701725757803,33.70160213618158,12.156252781486426,52.93107847500371,52.93107847500371,79.17311971517579,105.4,11.5,3.6,99.0881,0,6,1.2246467991473532e-16,-1.0
Spain,2024-07,418.0080154543507,456.0123192693138,26.780299180269036,38.926212728081886,15.900326361074026,11.417668001780154,11.417668001780154,17.646491618454235,106.4,11.4,2.9,99.09697,0,7,-0.4999999999999998,-0.8660254037844388
Spain,2024-08,381.41557297054504,425.0856086090095,27.40160596446397,37.60256638480938,17.49089155911586,19.035232161400387,19.035232161400387,30.808930425752855,106.9,11.3,2.4,99.17031,0,8,-0.8660254037844384,-0.5000000000000004
Spain,2024-09,316.0382563347839,372.95123905742633,20.642838352371065,31.114448894822726,10.23859961430055,50.97297136923306,50.97297136923306,73.87301587301587,107.9,11.1,1.7,99.30791,0,9,-1.0,-1.8369701987210297e-16
Spain,2024-10,243.67784415475776,344.17556081153475,17.22449909317561,28.427829698857735,6.873994956237946,150.33527666518322,150.33527666518322,144.48879988132325,108.1,10.9,1.8,99.46703,0,10,-0.8660254037844386,0.5000000000000001
Spain,2024-11,227.4760458553792,298.1138368969325,13.077259555951143,20.924966622162884,4.397863818424566,57.82220738762795,57.82220738762795,62.28971962616822,107.0,10.8,2.4,99.60813,0,11,-0.5000000000000004,0.8660254037844384
Spain,2024-12,246.1362013178065,289.58144929865335,8.304760469156006,17.901260940513275,0.36166740839638034,22.688785046728974,22.688785046728974,47.672452158433465,109.4,10.8,2.8,99.69707,0,12,-2.4492935982947064e-16,1.0
Turkey,2015-01,207.4750219229748,300.4027505434741,5.695816326302643,15.112002216219958,-7.218114135327932,109.11900062331185,88.8288108594778,160.43219752060392,76.1,10.5,7.2,100.5151,0,1,0.49999999999999994,0.8660254037844387
Turkey,2015-02,209.8627933592277,299.1357373288778,6.403475334659108,17.709290809612853,-2.0423055613269616,120.00489992381746,90.29908580926659,229.6183946256666,76.2,10.7,7.6,100.3703,0,2,0.8660254037844386,0.5000000000000001
Turkey,2015-03,259.738261047818,370.3892063648029,8.634085217232004,19.27178821248009,0.30108387007410486,88.2036152088095,86.76287831567285,158.6908026871667,77.3,10.5,7.6,100.1507,0,3,1.0,6.123233995736766e-17
Turkey,2015-04,332.56639597867655,398.1693899971913,11.170072835145554,24.311043008518592,2.3087540688413326,65.49016206108456,62.492142807673666,113.2207562850613,77.4,10.5,7.9,99.8779,0,4,0.8660254037844387,-0.49999999999999983
Turkey,2015-05,386.3042401613878,446.2584856683481,18.24851030698668,28.048843410208463,9.54659256181176,38.24312971812452,38.24312971812452,62.73768959069188,77.6,10.2,8.3,99.55821,0,5,0.49999999999999994,-0.8660254037844387
Turkey,2015-06,387.49120700918036,449.13127916714757,20.889820509268876,28.55879562296558,13.993448299743749,62.23632523027911,62.23632523027911,101.50249324745481,77.1,10.2,7.6,99.2291,0,6,1.2246467991473532e-16,-1.0
Turkey,2015-07,431.9699654705428,455.6591242203792,25.321626240759233,35.74629475725466,17.076816261513954,2.4280005540549903,2.4280005540549903,11.330424544636054,78.9,10.1,7.1,99.01099,0,7,-0.4999999999999998,-0.8660254037844388
Turkey,2015-08,402.5183337764811,425.49091136303304,26.29153468764033,33.55175912459311,19.4171999445945,12.85412078398781,12.85412078398781,30.438015097998477,78.3,10.1,7.1,98.88552,0,8,-0.8660254037844384,-0.5000000000000004
Turkey,2015-09,320.61220290503724,373.91190194842665,23.838395664519705,34.31007341228617,16.09151949580996,59.15158251956506,59.15158251956506,74.93583350647552,78.6,10.2,7.9,98.84103,0,9,-1.0,-1.8369701987210297e-16
Turkey,2015-10,252.58345467907137,345.57129547887286,16.822347294178627,24.976497679894727,9.541464090310964,115.42680241013922,115.42680241013922,149.4754484382575,77.7,10.2,7.7,98.86182,0,10,-0.8660254037844386,0.5000000000000001
